123-456-789 01|7.5.2007  |45у |15.08.2025|09.03.01|245
789-012-345 67|31.10.2008|151 |21.8.2025 |01.02.02|270
901-234-567 86|3.4.2002  |1 3s|23.08.2025|02.03.02|251
900-234-567 85|3.4.2006  |153 |23.8.2025 |02.03.02|251
903-234-567 89|3.4.2007  |1а3s|23.08.2025|02.03.02|251
904-234-587 89|3.4.2004  |13ss|23.8.2025 |02.03.02|251
905-234-537 89|3.4.2005  |1sss|23.08.2025|02.03.02|251
906-234-517 83|3.4.2000  |ssss|23.8.2025 |02.03.02|251
907-234-567 84|3.4.2005  |153 |23.08.2025|02.03.02|251
908-234-567 82|3.4.2008  |1s33|23.8.2025 |02.03.02|251
909-234-567 84|3.4.2008  |ss33|23.08.2025|02.03.02|251
911-234-567 86|3.4.2007  |ssd3|23.8.2025 |02.03.02|251
